Cordenada X,Cordenada Y,fuerza X 1,fuerza Y 1,fuerza neta 1,fuerza X 2,fuerza Y 2,fuerza neta 2,fuerza total X,fuerza total Y,fuerza neta total
-1.0,-6.0,22.449,-61.734,65.69,27.45,50.325,-57.325,49.899,-11.408999999999999,51.187
-1.0,-3.5,43.426,-92.28,101.986,47.95,67.93,-83.146,91.376,-24.349999999999994,94.565
-1.0,-1.0,96.01,-144.015,173.082,88.397,88.397,-125.008,184.407,-55.61799999999998,192.612
-1.0,1.5,239.769,-209.798,318.593,161.135,93.995,-186.54,400.904,-115.803,417.294
-1.0,4.0,513.644,-128.411,529.439,239.906,39.984,-243.224,753.55,-88.42699999999999,758.721
-1.0,6.5,461.752,173.157,493.151,228.231,-57.058,-235.268,689.983,116.09900000000002,699.682
-1.0,9.0,198.858,198.858,281.236,144.015,-96.01,-173.082,342.873,102.848,357.966
-1.0,11.5,80.982,131.595,154.513,78.01,-84.511,-115.013,158.99200000000002,47.084,165.817
-1.0,14.0,37.681,84.783,92.781,42.665,-63.998,-76.918,80.346,20.785000000000004,82.991
-1.0,16.5,19.943,57.336,60.706,24.744,-47.426,-53.493,44.687,9.909999999999997,45.773
-1.0,19.0,11.663,40.821,42.454,15.28,-35.653,-38.791,26.942999999999998,5.167999999999999,27.434
1.5,-11.0,11.357,-27.957,30.176,7.17,32.778,-33.552,18.527,4.820999999999998,19.144
1.5,-8.5,17.392,-36.123,40.091,11.613,44.795,-46.275,29.005,8.672000000000004,30.274
1.5,-6.0,28.046,-47.462,55.13,20.481,64.369,-67.547,48.527,16.906999999999996,51.388
1.5,-3.5,47.753,-62.447,78.609,40.558,98.499,-106.518,88.311,36.05199999999999,95.386
1.5,-1.0,84.511,-78.01,115.013,93.995,161.135,-186.54,178.506,83.12499999999999,196.912
1.5,1.5,145.423,-78.305,165.156,259.714,259.714,-367.309,405.137,181.409,443.898
1.5,4.0,205.717,-31.649,208.122,653.14,186.611,-679.266,858.857,154.962,872.725
1.5,6.5,197.053,45.474,202.237,570.453,-244.48,-620.653,767.506,-199.006,792.886
1.5,9.0,131.595,80.982,154.513,209.798,-239.769,-318.593,341.39300000000003,-158.787,376.514
1.5,11.5,75.323,75.323,106.518,78.305,-145.423,-165.156,153.628,-70.10000000000001,168.866
1.5,14.0,42.752,59.194,73.02,34.977,-89.941,-96.507,77.729,-30.747,83.589
1.5,16.5,25.377,44.899,51.575,18.134,-59.582,-62.282,43.510999999999996,-14.683,45.922
1.5,19.0,15.909,34.265,37.777,10.481,-41.926,-43.217,26.39,-7.661000000000001,27.48
4.0,-11.0,13.092,-23.275,26.705,2.185,34.953,-35.02,15.277000000000001,11.678000000000004,19.229
4.0,-8.5,18.964,-28.446,34.188,3.628,48.979,-49.113,22.592,20.532999999999998,30.529
4.0,-6.0,28.212,-34.481,44.552,6.68,73.475,-73.775,34.891999999999996,38.99399999999999,52.326
4.0,-3.5,42.7,-40.328,58.732,14.354,122.009,-122.856,57.054,81.681,99.634
4.0,-1.0,63.998,-42.665,76.918,39.984,239.906,-243.224,103.982,197.241,222.971
4.0,1.5,89.941,-34.977,96.507,186.611,653.14,-679.266,276.552,618.163,677.205
4.0,4.0,109.099,-12.122,109.765,3183.422,3183.422,-4501.359,3292.521,3171.3,4571.415
4.0,6.5,106.642,17.774,108.112,1535.519,-2303.279,-2768.542,1642.161,-2285.505,2814.29
4.0,9.0,84.783,37.681,92.781,128.411,-513.644,-529.439,213.19400000000002,-475.963,521.529
4.0,11.5,59.194,42.752,73.02,31.649,-205.717,-208.122,90.843,-162.965,186.574
4.0,14.0,39.283,39.283,55.555,12.122,-109.099,-109.765,51.405,-69.816,86.699
4.0,16.5,26.011,33.236,42.204,5.852,-67.295,-67.547,31.863,-34.059000000000005,46.64
4.0,19.0,17.571,27.332,32.492,3.255,-45.566,-45.683,20.826,-18.234,27.68
6.5,-11.0,13.529,-18.823,23.181,-3.253,34.699,-34.851,10.276,15.875999999999998,18.911
6.5,-8.5,18.558,-21.785,28.617,-5.387,48.483,-48.781,13.171,26.697999999999997,29.77
6.5,-6.0,25.68,-24.564,35.537,-9.866,72.349,-73.02,15.814,47.785000000000004,50.334
6.5,-3.5,35.394,-26.161,44.012,-20.997,118.981,-120.815,14.396999999999998,92.82,93.93
6.5,-1.0,47.426,-24.744,53.493,-57.058,228.231,-235.268,-9.631999999999998,203.487,203.715
6.5,1.5,59.582,-18.134,62.282,-244.48,570.453,-620.653,-184.898,552.319,582.446
6.5,4.0,67.295,-5.852,67.547,-2303.279,1535.519,-2768.542,-2235.984,1529.667,2709.152
6.5,6.5,66.36,8.656,66.919,-1414.854,-1414.854,-2000.604,-1348.4940000000001,-1406.198,1948.289
6.5,9.0,57.336,19.943,60.706,-173.157,-461.752,-493.151,-115.82100000000001,-441.809,456.738
6.5,11.5,44.899,25.377,51.575,-45.474,-197.053,-202.237,-0.5749999999999957,-171.676,171.677
6.5,14.0,33.236,26.011,42.204,-17.774,-106.642,-108.112,15.461999999999996,-80.631,82.1
6.5,16.5,24.062,24.062,34.028,-8.656,-66.36,-66.919,15.406,-42.298,45.016
6.5,19.0,17.402,21.186,27.417,-4.836,-45.14,-45.398,12.566,-23.954,27.05
9.0,-11.0,13.112,-14.986,19.912,-8.026,32.103,-33.09,5.086,17.117,17.857
9.0,-8.5,17.127,-16.515,23.793,-12.897,43.528,-45.398,4.229999999999999,27.012999999999998,27.342
9.0,-6.0,22.326,-17.542,28.393,-22.449,61.734,-65.69,-0.12300000000000111,44.192,44.192
9.0,-3.5,28.681,-17.413,33.552,-43.426,92.28,-101.986,-14.745000000000001,74.867,76.305
9.0,-1.0,35.653,-15.28,38.791,-96.01,144.015,-173.082,-60.357000000000006,128.73499999999999,142.182
9.0,1.5,41.926,-10.481,43.217,-239.769,209.798,-318.593,-197.84300000000002,199.317,280.836
9.0,4.0,45.566,-3.255,45.683,-513.644,128.411,-529.439,-468.078,125.156,484.521
9.0,6.5,45.14,4.836,45.398,-461.752,-173.157,-493.151,-416.612,-168.321,449.33
