Cordenada X,Cordenada Y,fuerza X 1,fuerza Y 1,fuerza neta 1,fuerza X 2,fuerza Y 2,fuerza neta 2,fuerza X 3,fuerza Y 3,fuerza neta 3,fuerza total X,fuerza total Y,fuerza neta total
-6.0,-21.0,-0.511,-13.284,13.294,-4.4,-10.4,11.292,-2.185,-34.953,35.02,-7.096,-58.637,59.065
-6.0,-18.5,-0.692,-16.253,16.268,-5.667,-12.107,13.368,-3.628,-48.979,49.113,-9.987,-77.339,77.981
-6.0,-16.0,-0.968,-20.338,20.362,-7.43,-14.185,16.014,-6.68,-73.475,73.775,-15.078,-107.99799999999999,109.045
-6.0,-13.5,-1.415,-26.182,26.22,-9.929,-16.7,19.428,-14.354,-122.009,122.856,-25.698,-164.891,166.881
-6.0,-11.0,-2.185,-34.953,35.02,-13.526,-19.674,23.874,-39.984,-239.906,243.224,-55.695,-294.533,299.753
-6.0,-8.5,-3.628,-48.979,49.113,-18.747,-23.008,29.679,-186.611,-653.14,679.266,-208.986,-725.127,754.642
-6.0,-6.0,-6.68,-73.475,73.775,-26.299,-26.299,37.192,-3183.422,-3183.422,4501.359,-3216.401,-3283.196,4596.152
-6.0,-3.5,-14.354,-122.009,122.856,-36.855,-28.479,46.575,-1535.519,2303.279,2768.542,-1586.728,2152.791,2674.363
-6.0,-1.0,-39.984,-239.906,243.224,-50.325,-27.45,57.325,-128.411,513.644,529.439,-218.72,246.288,329.388
-6.0,1.5,-186.611,-653.14,679.266,-64.369,-20.481,67.547,-31.649,205.717,208.122,-282.629,-467.904,546.638
-6.0,4.0,-3183.422,-3183.422,4501.359,-73.475,-6.68,73.775,-12.122,109.099,109.765,-3269.019,-3081.0029999999997,4492.111
-6.0,6.5,-1535.519,2303.279,2768.542,-72.349,9.866,73.02,-5.852,67.295,67.547,-1613.72,2380.44,2875.863
-6.0,9.0,-128.411,513.644,529.439,-61.734,22.449,65.69,-3.255,45.566,45.683,-193.4,581.659,612.969
-6.0,11.5,-31.649,205.717,208.122,-47.462,28.046,55.13,-1.993,32.878,32.938,-81.104,266.641,278.703
-6.0,14.0,-12.122,109.099,109.765,-34.481,28.212,44.552,-1.307,24.829,24.863,-47.910000000000004,162.14000000000001,169.07
-6.0,16.5,-5.852,67.295,67.547,-24.564,25.68,35.537,-0.903,19.408,19.428,-31.319,112.383,116.665
-6.0,19.0,-3.255,45.566,45.683,-17.542,22.326,28.393,-0.649,15.584,15.598,-21.446,83.476,86.187
-3.5,-21.0,0.764,-13.248,13.27,-3.738,-11.433,12.028,3.253,-34.699,34.851,0.2789999999999999,-59.379999999999995,59.381
-3.5,-18.5,1.034,-16.198,16.231,-4.902,-13.552,14.412,5.387,-48.483,48.781,1.5189999999999992,-78.233,78.248
-3.5,-16.0,1.447,-20.252,20.304,-6.579,-16.254,17.535,9.866,-72.349,73.02,4.734,-108.855,108.958
-3.5,-13.5,2.111,-26.038,26.124,-9.066,-19.731,21.713,20.997,-118.981,120.815,14.042,-164.75,165.347
-3.5,-11.0,3.253,-34.699,34.851,-12.863,-24.212,27.417,57.058,-228.231,235.268,47.448,-287.142,291.036
-3.5,-8.5,5.387,-48.483,48.781,-18.842,-29.926,35.364,244.48,-570.453,620.653,231.02499999999998,-648.862,688.763
-3.5,-6.0,9.866,-72.349,73.02,-28.479,-36.855,46.575,2303.279,-1535.519,2768.542,2284.666,-1644.723,2815.104
-3.5,-3.5,20.997,-118.981,120.815,-44.039,-44.039,62.282,1414.854,1414.854,2000.604,1391.8120000000001,1251.834,1871.959
-3.5,-1.0,57.058,-228.231,235.268,-67.93,-47.95,83.146,173.157,461.752,493.151,162.285,185.57100000000003,246.522
-3.5,1.5,244.48,-570.453,620.653,-98.499,-40.558,106.518,45.474,197.053,202.237,191.45499999999998,-413.95799999999997,456.088
-3.5,4.0,2303.279,-1535.519,2768.542,-122.009,-14.354,122.856,17.774,106.642,108.112,2199.044,-1443.231,2630.344
-3.5,6.5,1414.854,1414.854,2000.604,-118.981,20.997,120.815,8.656,66.36,66.919,1304.529,1502.211,1989.581
-3.5,9.0,173.157,461.752,493.151,-92.28,43.426,101.986,4.836,45.14,45.398,85.71300000000001,550.318,556.953
-3.5,11.5,45.474,197.053,202.237,-62.447,47.753,78.609,2.968,32.652,32.787,-14.005000000000006,277.45799999999997,277.811
-3.5,14.0,17.774,106.642,108.112,-40.328,42.7,58.732,1.95,24.7,24.777,-20.604000000000003,174.04199999999997,175.257
-3.5,16.5,8.656,66.36,66.919,-26.161,35.394,44.012,1.349,19.329,19.376,-16.156000000000002,121.083,122.156
-3.5,19.0,4.836,45.14,45.398,-17.413,28.681,33.552,0.971,15.534,15.564,-11.606,89.355,90.106
-1.0,-21.0,1.978,-12.854,13.006,-2.842,-12.317,12.641,8.026,-32.103,33.09,7.162,-57.274,57.72
-1.0,-18.5,2.658,-15.614,15.838,-3.785,-14.824,15.299,12.897,-43.528,45.398,11.77,-73.96600000000001,74.897
-1.0,-16.0,3.685,-19.345,19.693,-5.184,-18.143,18.868,22.449,-61.734,65.69,20.950000000000003,-99.22200000000001,101.41
-1.0,-13.5,5.31,-24.557,25.123,-7.34,-22.632,23.793,43.426,-92.28,101.986,41.396,-139.469,145.483
-1.0,-11.0,8.026,-32.103,33.09,-10.822,-28.859,30.822,96.01,-144.015,173.082,93.214,-204.97699999999998,225.176
-1.0,-8.5,12.897,-43.528,45.398,-16.749,-37.685,41.239,239.769,-209.798,318.593,235.917,-291.01099999999997,374.625
-1.0,-6.0,22.449,-61.734,65.69,-27.45,-50.325,57.325,513.644,-128.411,529.439,508.64300000000003,-240.47,562.622
-1.0,-3.5,43.426,-92.28,101.986,-47.95,-67.93,83.146,461.752,173.157,493.151,457.228,12.947000000000003,457.411
-1.0,-1.0,96.01,-144.015,173.082,-88.397,-88.397,125.008,198.858,198.858,281.236,206.471,-33.553999999999974,209.18
-1.0,1.5,239.769,-209.798,318.593,-161.135,-93.995,186.54,80.982,131.595,154.513,159.616,-172.198,234.797
-1.0,4.0,513.644,-128.411,529.439,-239.906,-39.984,243.224,37.681,84.783,92.781,311.419,-83.61200000000001,322.448
-1.0,6.5,461.752,173.157,493.151,-228.231,57.058,235.268,19.943,57.336,60.706,253.46400000000003,287.551,383.314
-1.0,9.0,198.858,198.858,281.236,-144.015,96.01,173.082,11.663,40.821,42.454,66.50600000000001,335.68899999999996,342.214
