Cordenada X,Cordenada Y,fuerza X 1,fuerza Y 1,fuerza neta 1,fuerza X 2,fuerza Y 2,fuerza neta 2,fuerza X 3,fuerza Y 3,fuerza neta 3,fuerza total X,fuerza total Y,fuerza neta total
-1.5,3.0,205.608,-164.486,-263.343,-51.327,205.308,211.673,-42.876,68.602,80.899,111.405,109.424,156.156
-1.0,-3.5,45.231,101.771,-111.36,0.0,-44.444,44.444,-109.658,-137.072,175.562,-64.42699999999999,-79.745,102.519
-1.0,-3.0,60.379,120.759,-135.008,0.0,-56.25,56.25,-159.171,-159.171,225.068,-98.792,-94.66199999999999,136.824
-1.0,-2.5,82.443,144.276,-166.164,0.0,-73.469,73.469,-230.4,-172.8,288.0,-147.957,-101.993,179.705
-1.0,-2.0,115.164,172.746,-207.641,0.0,-100.0,100.0,-322.023,-161.012,360.022,-206.85900000000004,-88.26599999999999,224.903
-1.0,-1.5,164.486,205.608,-263.343,0.0,-144.0,144.0,-410.617,-102.654,423.346,-246.13100000000003,-41.04599999999999,249.53
-1.0,-1.0,238.757,238.757,-337.602,0.0,-225.0,225.0,-450.0,0.0,450.0,-211.243,13.757000000000005,211.69
-1.0,-0.5,345.6,259.2,-432.0,0.0,-400.0,400.0,-410.617,102.654,423.346,-65.017,-38.146000000000015,75.381
-1.0,0.0,483.035,241.517,-540.033,0.0,-900.0,900.0,-322.023,161.012,360.022,161.012,-497.47099999999995,522.879
-1.0,0.5,615.925,153.981,-635.019,0.0,-3600.0,3600.0,-230.4,172.8,288.0,385.525,-3273.219,3295.845
-1.0,1.0,675.0,-0.0,-675.0,0,0,0,-159.171,159.171,225.068,515.829,159.171,539.829
-1.0,1.5,615.925,-153.981,-635.019,0.0,3600.0,3600.0,-109.658,137.072,175.562,506.26699999999994,3583.0910000000003,3618.68
-1.0,2.0,483.035,-241.517,-540.033,0.0,900.0,900.0,-76.776,115.164,138.427,406.259,773.6469999999999,873.828
-1.0,2.5,345.6,-259.2,-432.0,0.0,400.0,400.0,-54.962,96.184,110.776,290.63800000000003,236.984,375.009
-1.0,3.0,238.757,-238.757,-337.602,0.0,225.0,225.0,-40.253,80.506,90.005,198.50400000000002,66.749,209.426
-0.5,-3.5,37.957,113.872,-120.021,4.847,-43.625,43.896,-109.005,-181.676,211.834,-66.201,-111.42899999999999,129.611
-0.5,-3.0,51.947,138.526,-147.945,6.87,-54.962,55.388,-172.8,-230.4,288.0,-113.983,-146.836,185.884
-0.5,-2.5,73.344,171.136,-186.196,10.178,-71.248,71.981,-282.971,-282.971,400.121,-199.449,-183.08300000000003,270.738
-0.5,-2.0,107.341,214.682,-240.015,16.002,-96.01,97.322,-460.656,-307.104,553.708,-337.313,-188.43200000000002,386.376
-0.5,-1.5,163.508,272.514,-317.751,27.139,-135.694,138.408,-683.232,-227.744,720.126,-492.5849999999999,-90.92399999999998,500.906
-0.5,-1.0,259.2,345.6,-432.0,51.327,-205.308,211.673,-800.0,0.0,800.0,-489.473,140.29200000000003,509.181
-0.5,-0.5,424.456,424.456,-600.181,113.872,-341.616,360.063,-683.232,227.744,720.126,-144.904,310.58400000000006,342.724
-0.5,0.0,690.984,460.656,-830.562,322.023,-644.046,720.044,-460.656,307.104,553.708,552.3510000000001,123.71399999999994,566.036
-0.5,0.5,1024.848,341.616,-1080.19,1273.369,-1273.369,1800.544,-282.971,282.971,400.121,2015.2459999999996,-648.7819999999999,2117.105
-0.5,1.0,1200.0,-0.0,-1200.0,3600.0,0.0,3600.0,-172.8,230.4,288.0,4627.2,230.4,4632.933
-0.5,1.5,1024.848,-341.616,-1080.19,1273.369,1273.369,1800.544,-109.005,181.676,211.834,2189.2119999999995,1113.4289999999999,2456.089
-0.5,2.0,690.984,-460.656,-830.562,322.023,644.046,720.044,-71.561,143.121,160.01,941.446,326.5110000000001,996.459
-0.5,2.5,424.456,-424.456,-600.181,113.872,341.616,360.063,-48.896,114.091,124.131,489.43199999999996,31.250999999999962,490.429
-0.5,3.0,259.2,-345.6,-432.0,51.327,205.308,211.673,-34.631,92.35,98.63,275.89599999999996,-47.942000000000036,280.03
0.0,-3.5,27.559,124.015,-127.046,9.186,-41.338,42.349,-92.164,-230.411,248.199,-55.419,-147.734,157.787
0.0,-3.0,38.523,154.093,-158.832,12.841,-51.364,52.944,-161.012,-322.023,360.022,-109.648,-219.29400000000004,245.179
0.0,-2.5,55.983,195.942,-203.78,18.661,-65.314,67.927,-307.104,-460.656,553.708,-232.45999999999998,-330.028,403.678
0.0,-2.0,85.404,256.212,-270.047,28.468,-85.404,90.016,-636.684,-636.684,900.272,-522.812,-465.876,700.266
0.0,-1.5,138.247,345.617,-372.298,46.082,-115.206,124.099,-1288.093,-644.046,1440.088,-1103.7640000000001,-413.63500000000005,1178.723
0.0,-1.0,241.517,483.035,-540.033,80.506,-161.012,180.011,-1800.0,0.0,1800.0,-1477.9769999999999,322.023,1512.652
0.0,-0.5,460.656,690.984,-830.562,153.552,-230.328,276.854,-1288.093,644.046,1440.088,-673.8850000000001,1104.7020000000002,1294.02
0.0,0.0,955.027,955.027,-1350.408,318.342,-318.342,450.136,-636.684,636.684,900.272,636.6850000000002,1273.3690000000001,1423.67
0.0,0.5,1932.139,966.069,-2160.131,644.046,-322.023,720.044,-307.104,460.656,553.708,2269.081,1104.702,2523.707
0.0,1.0,2700.0,-0.0,-2700.0,900.0,0.0,900.0,-161.012,322.023,360.022,3438.988,322.023,3454.032
0.0,1.5,1932.139,-966.069,-2160.131,644.046,322.023,720.044,-92.164,230.411,248.199,2484.0209999999997,-413.63499999999993,2518.224
0.0,2.0,955.027,-955.027,-1350.408,318.342,318.342,450.136,-56.936,170.808,180.032,1216.4330000000002,-465.87700000000007,1302.594
0.0,2.5,460.656,-690.984,-830.562,153.552,230.328,276.854,-37.322,130.628,135.853,576.886,-330.0280000000001,664.617
0.0,3.0,241.517,-483.035,-540.033,80.506,161.012,180.011,-25.682,102.729,105.888,296.341,-219.29400000000004,368.657
0.5,-3.5,14.542,130.875,-131.689,12.652,-37.957,40.007,-54.278,-271.389,276.817,-27.084,-178.471,180.514
0.5,-3.0,20.611,164.887,-166.164,17.316,-46.175,49.315,-102.654,-410.617,423.346,-64.727,-291.90500000000003,298.995
0.5,-2.5,30.535,213.745,-215.943,24.448,-57.045,62.065,-227.744,-683.232,720.126,-172.761,-526.5319999999999,554.15
0.5,-2.0,48.005,288.029,-291.965,35.78,-71.561,80.005,-644.046,-1288.093,1440.088,-560.2610000000001,-1071.625,1209.245
0.5,-1.5,81.417,407.083,-415.225,54.503,-90.838,105.917,-2546.738,-2546.738,3601.088,-2410.8179999999998,-2230.493,3284.379
0.5,-1.0,153.981,615.925,-635.019,86.4,-115.2,144.0,-7200.0,0.0,7200.0,-6959.619,500.72499999999997,6977.609
0.5,-0.5,341.616,1024.848,-1080.19,141.485,-141.485,200.06,-2546.738,2546.738,3601.088,-2063.6369999999997,3430.1009999999997,4003.023
0.5,0.0,966.069,1932.139,-2160.131,230.328,-153.552,276.854,-644.046,1288.093,1440.088,552.3509999999999,3066.6800000000003,3116.026
0.5,0.5,3820.107,3820.107,-5401.631,341.616,-113.872,360.063,-227.744,683.232,720.126,3933.979,4389.467000000001,5894.371
0.5,1.0,10800.0,-0.0,-10800.0,400.0,0.0,400.0,-102.654,410.617,423.346,11097.346,410.617,11104.94
0.5,1.5,3820.107,-3820.107,-5401.631,341.616,113.872,360.063,-54.278,271.389,276.817,4107.445,-3434.846,5354.369
0.5,2.0,966.069,-1932.139,-2160.131,230.328,153.552,276.854,-32.003,192.019,194.643,1164.394,-1586.568,1967.997
0.5,2.5,341.616,-1024.848,-1080.19,141.485,141.485,200.06,-20.357,142.496,143.962,462.744,-740.867,873.508
0.5,3.0,153.981,-615.925,-635.019,86.4,115.2,144.0,-13.741,109.924,110.776,226.64,-390.80099999999993,451.764
1.0,-3.5,-0.0,133.333,-133.333,15.077,-33.924,37.12,0.0,-288.0,288.0,15.077,-188.591,189.193
1.0,-3.0,-0.0,168.75,-168.75,20.126,-40.253,45.003,0.0,-450.0,450.0,20.126,-321.503,322.132
1.0,-2.5,-0.0,220.408,-220.408,27.481,-48.092,55.388,0.0,-800.0,800.0,27.481,-627.684,628.285
1.0,-2.0,-0.0,300.0,-300.0,38.388,-57.582,69.214,0.0,-1800.0,1800.0,38.388,-1557.5819999999999,1558.055
1.0,-1.5,-0.0,432.0,-432.0,54.829,-68.536,87.781,0.0,-7200.0,7200.0,54.829,-6836.536,6836.756
1.0,-1.0,-0.0,675.0,-675.0,79.586,-79.586,112.534,0,0,0,79.586,595.414,600.709
1.0,-0.5,-0.0,1200.0,-1200.0,115.2,-86.4,144.0,0.0,7200.0,7200.0,115.2,8313.6,8314.398
1.0,0.0,-0.0,2700.0,-2700.0,161.012,-80.506,180.011,0.0,1800.0,1800.0,161.012,4419.494000000001,4422.426
1.0,0.5,-0.0,10800.0,-10800.0,205.308,-51.327,211.673,0.0,800.0,800.0,205.308,11548.673,11550.498
1.0,1.0,0,0,0,225.0,0.0,225.0,0.0,450.0,450.0,225.0,450.0,503.115
1.0,1.5,-0.0,-10800.0,-10800.0,205.308,51.327,211.673,0.0,288.0,288.0,205.308,-10460.673,10462.688
1.0,2.0,-0.0,-2700.0,-2700.0,161.012,80.506,180.011,0.0,200.0,200.0,161.012,-2419.494,2424.846
1.0,2.5,-0.0,-1200.0,-1200.0,115.2,86.4,144.0,0.0,146.939,146.939,115.2,-966.661,973.501
1.0,3.0,-0.0,-675.0,-675.0,79.586,79.586,112.534,0.0,112.5,112.5,79.586,-482.914,489.428
1.5,-3.5,-14.542,130.875,-131.689,16.492,-29.685,33.96,54.278,-271.389,276.817,56.228,-170.199,179.246
1.5,-3.0,-20.611,164.887,-166.164,21.438,-34.301,40.449,102.654,-410.617,423.346,103.481,-280.031,298.539
1.5,-2.5,-30.535,213.745,-215.943,28.28,-39.592,48.652,227.744,-683.232,720.126,225.489,-509.07899999999995,556.782
1.5,-2.0,-48.005,288.029,-291.965,37.785,-45.342,59.02,644.046,-1288.093,1440.088,633.826,-1045.406,1222.542
1.5,-1.5,-81.417,407.083,-415.225,50.892,-50.892,71.981,2546.738,-2546.738,3601.088,2516.2129999999997,-2190.5469999999996,3336.139
1.5,-1.0,-153.981,615.925,-635.019,68.536,-54.829,87.781,7200.0,0.0,7200.0,7114.555,561.096,7136.646
1.5,-0.5,-341.616,1024.848,-1080.19,90.838,-54.503,105.917,2546.738,2546.738,3601.088,2295.96,3517.0829999999996,4200.155
1.5,0.0,-966.069,1932.139,-2160.131,115.206,-46.082,124.099,644.046,1288.093,1440.088,-206.8169999999999,3174.1499999999996,3180.881
1.5,0.5,-3820.107,3820.107,-5401.631,135.694,-27.139,138.408,227.744,683.232,720.126,-3456.669,4476.2,5655.522
1.5,1.0,-10800.0,-0.0,-10800.0,144.0,0.0,144.0,102.654,410.617,423.346,-10553.346,410.617,10561.331
1.5,1.5,-3820.107,-3820.107,-5401.631,135.694,27.139,138.408,54.278,271.389,276.817,-3630.135,-3521.5789999999997,5057.608
1.5,2.0,-966.069,-1932.139,-2160.131,115.206,46.082,124.099,32.003,192.019,194.643,-818.8599999999999,-1694.0379999999998,1881.568
1.5,2.5,-341.616,-1024.848,-1080.19,90.838,54.503,105.917,20.357,142.496,143.962,-230.421,-827.8489999999999,859.318
1.5,3.0,-153.981,-615.925,-635.019,68.536,54.829,87.781,13.741,109.924,110.776,-71.704,-451.172,456.834
2.0,-3.5,-27.559,124.015,-127.046,17.071,-25.606,30.773,92.164,-230.411,248.199,81.676,-132.002,155.227
2.0,-3.0,-38.523,154.093,-158.832,21.6,-28.8,36.0,161.012,-322.023,360.022,144.089,-196.73000000000002,243.853
2.0,-2.5,-55.983,195.942,-203.78,27.559,-32.152,42.349,307.104,-460.656,553.708,278.68,-296.866,407.176
2.0,-2.0,-85.404,256.212,-270.047,35.346,-35.346,49.992,636.684,-636.684,900.272,586.626,-415.818,719.051
2.0,-1.5,-138.247,345.617,-372.298,45.342,-37.785,59.02,1288.093,-644.046,1440.088,1195.188,-336.21400000000006,1241.577
2.0,-1.0,-241.517,483.035,-540.033,57.582,-38.388,69.214,1800.0,0.0,1800.0,1616.065,444.64700000000005,1676.12
2.0,-0.5,-460.656,690.984,-830.562,71.561,-35.78,80.005,1288.093,644.046,1440.088,898.998,1299.25,1579.952
2.0,0.0,-955.027,955.027,-1350.408,85.404,-28.468,90.016,636.684,636.684,900.272,-232.93900000000008,1563.243,1580.503
2.0,0.5,-1932.139,966.069,-2160.131,96.01,-16.002,97.322,307.104,460.656,553.708,-1529.0249999999999,1410.723,2080.398
2.0,1.0,-2700.0,-0.0,-2700.0,100.0,0.0,100.0,161.012,322.023,360.022,-2438.988,322.023,2460.155
2.0,1.5,-1932.139,-966.069,-2160.131,96.01,16.002,97.322,92.164,230.411,248.199,-1743.965,-719.656,1886.616
2.0,2.0,-955.027,-955.027,-1350.408,85.404,28.468,90.016,56.936,170.808,180.032,-812.687,-755.7510000000001,1109.784
2.0,2.5,-460.656,-690.984,-830.562,71.561,35.78,80.005,37.322,130.628,135.853,-351.773,-524.576,631.604
2.0,3.0,-241.517,-483.035,-540.033,57.582,38.388,69.214,25.682,102.729,105.888,-158.25300000000001,-341.91800000000006,376.765
2.5,-3.5,-37.957,113.872,-120.021,17.0,-21.858,27.691,109.005,-181.676,211.834,88.048,-89.66199999999999,125.665
2.5,-3.0,-51.947,138.526,-147.945,20.98,-23.977,31.859,172.8,-230.4,288.0,141.833,-115.851,183.134
2.5,-2.5,-73.344,171.136,-186.196,25.971,-25.971,36.731,282.971,-282.971,400.121,235.598,-137.806,272.941
